,kappa,rho,sigma,Rt
0th,0.0003182565577611069,0.01650037361819556,0.0013510718332229972,9.88
1st,0.00046904691103989666,0.01631616280424472,0.004239917187420132,3.46
2nd,0.0004888659607388075,0.011666846616056355,0.004534340493923757,2.32
3rd,0.0005013289867619239,0.011738580023870465,0.005721601162514018,1.89
4th,0.0005613048684523842,0.010837032123791732,0.008822291381921513,1.15
5th,0.0004924448505251247,0.014093219295329976,0.007405145964835346,1.78
6th,0.0003171768345288678,0.010167720276540277,0.006713431492176434,1.45
7th,0.00019710894026132508,0.008562750696836947,0.007621133541908748,1.1
8th,0.00017930141147496498,0.006179491909711473,0.007644650245038878,0.79
9th,0.00019119504611324196,0.008834962757799696,0.012291996127354089,0.71
10th,0.00019659267300756235,0.010867144513017154,0.011100827286362872,0.96
11th,0.00020824708482899542,0.007584586947357307,0.01057679858724939,0.7
12th,0.00018650273397294735,0.009067114386691125,0.009470984501023863,0.94
13th,0.00016788140323345735,0.011426813166111839,0.011450468019411351,0.98
14th,0.00015275945381663242,0.01187483085040552,0.010911132719771332,1.07
15th,0.00016481833720074016,0.010889633457361004,0.011186661458301163,0.96
16th,0.0001317028019425272,0.012013075441390918,0.0102678135261728,1.16
17th,0.00023669777951688633,0.020756831382779173,0.019740467565527282,1.04
18th,0.0002172254149349997,0.020405460188369817,0.017784404795658525,1.13
19th,0.00022788913884232907,0.018442532547134387,0.014552809406888688,1.25
20th,0.0002205344385236054,0.020289366130261204,0.018268770026672602,1.1
21st,0.0002651956441796714,0.01334985363665687,0.011103316352783383,1.17
22nd,0.0001782645546386002,0.012721750886518814,0.01092773638435206,1.15
23rd,0.00020365220212083918,0.011028725809752204,0.011299325668503854,0.96
24th,0.0002140813778620474,0.011308954579029258,0.012649801909322075,0.88
25th,0.00016313988100625972,0.011481973259404993,0.009499633060436878,1.19
26th,0.0001513564366466637,0.009105762371441286,0.008769330733808731,1.02
27th,0.00014966520354655813,0.011542715210550128,0.009743430521384879,1.17
28th,0.00016093857707913362,0.010249461856139666,0.00792309162166922,1.27
29th,0.00023524525709532387,0.014184806588146207,0.009720907482697617,1.42
30th,0.00029319812076042574,0.012760973184944369,0.008855861789366636,1.39
31st,0.0003501074911054518,0.011080404399180802,0.009808665002742257,1.09
32nd,0.000401059757141084,0.009179735820217508,0.010471351350544186,0.84
